Perceptron

type,Precision,Recall,F1,Accuracy,T,K,Mistakes,Iteration
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.6666666667,100,2000,0.001,2000,75
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.6842105263,100,2000,0.001,2000,76
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7012987013,100,2000,0.001,2000,77
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7179487179,100,2000,0.001,2000,78
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7341772152,100,2000,0.001,2000,79
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.75,100,2000,0.001,2000,80
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7654320988,100,2000,0.001,2000,81
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7804878049,100,2000,0.001,2000,82
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.7951807229,100,2000,0.001,2000,83
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8095238095,100,2000,0.001,2000,84
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8235294118,100,2000,0.001,2000,85
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8372093023,100,2000,0.001,2000,86
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8505747126,100,2000,0.001,2000,87
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8636363636,100,2000,0.001,2000,88
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8764044944,100,2000,0.001,2000,89
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.8888888889,100,2000,0.001,2000,90
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9010989011,100,2000,0.001,2000,91
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9130434783,100,2000,0.001,2000,92
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9247311828,100,2000,0.001,2000,93
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9361702128,100,2000,0.001,2000,94
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9473684211,100,2000,0.001,2000,95
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9583333333,100,2000,0.001,2000,96
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9690721649,100,2000,0.001,2000,97
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9795918367,100,2000,0.001,2000,98
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.9898989899,100,2000,0.001,2000,99
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,99.0,100,2000,0.001,2000,100
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,0.0,100,5000,0.001,5000,1
